,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,Cer (d18:2/16:1),534.5,Test,14.14,
1,Cer (d18:2/16:0),536.5,Test,14.69,
2,Cer (d18:1/16:1),536.5,Test,14.45,
3,Cer (d18:1/16:0),538.6,Test,15.0,
4,Cer (d18:0/16:0),540.5,Test,15.31,
5,Cer (d18:1/17:0),552.7,Test,15.32,
6,Cer (d18:2/18:1),562.5,Test,14.78,
7,Cer (d18:2/18:0),564.5,Test,15.34,
8,Cer (d18:1/18:1),564.5,Test,15.1,
9,Cer (d18:1/18:0),566.6,Train,15.65,15.7
10,Cer (d18:0/18:0),568.6,Train,15.96,15.91
11,Cer (d18:2/20:0),592.6,Test,15.99,
12,Cer (d18:1/20:1),592.6,Test,15.75,
13,Cer (d18:1/20:0),594.6,Test,16.3,
14,Cer (d18:0/20:0),596.6,Test,16.62,
15,Cer (d18:2/22:0),620.6,Test,16.65,
16,Cer (d18:1/22:1),620.6,Test,16.41,
17,Cer (d18:1/22:0),622.6,Test,16.97,
18,Cer (d18:0/22:0),624.6,Test,17.28,
19,Cer (d18:2/24:1),646.6,Test,16.77,
20,Cer (d18:2/24:0),648.6,Train,17.32,17.27
21,Cer (d18:1/24:1),648.6,Train,17.08,17.08
22,Cer (d18:1/24:0),650.7,Train,17.63,17.68
23,Cer (d18:0/24:0),652.9,Train,17.95,17.95
