,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,Cer (d18:2/16:1),534.5,Test,7.6,
1,Cer (d18:2/16:0),536.5,Train,9.08,9.13
2,Cer (d18:1/16:1),536.5,Test,8.55,
3,Cer (d18:1/16:0),538.6,Train,10.03,9.99
4,Cer (d18:0/16:0),540.5,Test,10.98,
5,Cer (d18:1/17:0),552.7,Train,10.54,10.57
6,Cer (d18:2/18:1),562.5,Test,8.64,
7,Cer (d18:2/18:0),564.5,Train,10.13,10.23
8,Cer (d18:1/18:1),564.5,Test,9.6,
9,Cer (d18:1/18:0),566.6,Train,11.09,11.14
10,Cer (d18:0/18:0),568.6,Test,12.05,
11,Cer (d18:2/20:0),592.6,Test,11.31,
12,Cer (d18:1/20:1),592.6,Train,10.77,10.54
13,Cer (d18:1/20:0),594.6,Test,12.28,
14,Cer (d18:0/20:0),596.6,Test,13.24,
15,Cer (d18:2/22:0),620.6,Train,12.6,12.54
16,Cer (d18:1/22:1),620.6,Test,12.07,
17,Cer (d18:1/22:0),622.6,Train,13.58,13.54
18,Cer (d18:0/22:0),624.6,Test,14.56,
19,Cer (d18:2/24:2),644.6,Test,10.98,
20,Cer (d18:2/24:1),646.6,Train,12.5,12.6
21,Cer (d18:2/24:0),648.6,Train,14.02,13.83
22,Cer (d18:1/24:1),648.6,Train,13.48,13.61
23,Cer (d18:1/24:0),650.7,Train,15.0,15.11
24,Cer (d18:0/24:1),650.9,Test,14.47,
25,Cer (d18:0/24:0),652.9,Test,15.99,
