,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,SM (d18:1/12:0),647.5,Test,6.66,
1,SM (d18:2/16:0),701.6,Train,7.9,7.43
2,SM (d18:1/16:1),701.6,Test,7.6,
3,SM (d18:1/16:0),703.5,Train,7.58,7.79
4,SM (d18:1/14:0),675.2,Train,7.07,7.23
5,SM (d18:1/17:0),717.6,Train,7.88,8.07
6,SM (d18:0/16:0),705.6,Test,7.25,
7,SM (d18:2/18:0),729.6,Test,8.52,
8,SM (d18:1/18:1),729.6,Test,8.22,
9,SM (d18:1/18:0),731.6,Train,8.21,8.41
10,SM (d18:0/18:0),733.6,Train,7.89,7.59
11,SM (d18:2/20:0),757.6,Test,9.26,
12,SM (d18:1/20:1),757.6,Test,8.96,
13,SM (d18:1/20:0),759.6,Test,8.95,
14,SM (d18:0/20:0),761.6,Train,8.64,8.59
15,SM (d18:2/22:0),785.7,Test,10.1,
16,SM (d18:1/22:1),785.7,Test,9.8,
17,SM (d18:1/22:0),787.7,Train,9.8,9.97
18,SM (d18:0/22:0),789.7,Train,9.5,9.29
19,SM (d18:2/24:0),813.7,Test,11.04,
20,SM (d18:1/24:1),813.7,Test,10.74,
21,SM (d18:1/24:0),815.7,Train,10.75,10.75
22,SM (d18:0/24:0),817.7,Train,10.46,10.55
