,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,SM (d18:1/12:0),647.5,Test,13.32,
1,SM (d18:2/16:1),699.6,Train,13.68,13.66
2,SM (d18:2/16:0),701.6,Test,14.42,
3,SM (d18:1/16:1),701.6,Test,13.95,
4,SM (d18:1/16:0),703.5,Test,14.7,
5,SM (d18:0/16:0),705.6,Test,14.97,
6,SM (d18:2/18:1),727.6,Test,14.35,
7,SM (d18:2/18:0),729.6,Test,15.09,
8,SM (d18:1/18:1),729.6,Test,14.62,
9,SM (d18:1/18:0),731.6,Train,15.37,15.39
10,SM (d18:0/18:0),733.6,Train,15.64,15.64
11,SM (d18:2/20:1),755.6,Test,15.01,
12,SM (d18:2/20:0),757.6,Test,15.75,
13,SM (d18:1/20:1),757.6,Test,15.28,
14,SM (d18:1/20:0),759.6,Test,16.02,
15,SM (d18:0/20:0),761.6,Test,16.3,
16,SM (d18:2/22:1),783.7,Test,15.66,
17,SM (d18:2/22:0),785.7,Test,16.4,
18,SM (d18:1/22:1),785.7,Test,15.93,
19,SM (d18:1/22:0),787.7,Test,16.67,
20,SM (d18:0/22:0),789.7,Test,16.94,
21,SM (d18:2/24:1),811.7,Train,16.29,16.31
22,SM (d18:2/24:0),813.7,Test,17.03,
23,SM (d18:1/24:1),813.7,Test,16.56,
24,SM (d18:1/24:0),815.7,Train,17.3,17.28
25,SM (d18:0/24:0),817.7,Test,17.58,
