,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,Cer (d18:2/16:1),534.5,Test,6.37,
1,Cer (d18:2/16:0),536.5,Train,6.76,6.85
2,Cer (d18:1/16:1),536.5,Test,6.73,
3,Cer (d18:1/16:0),538.6,Train,7.11,7.01
4,Cer (d18:0/16:0),540.5,Train,7.47,7.43
5,Cer (d18:1/17:0),552.7,Train,7.45,7.53
6,Cer (d18:2/18:1),562.5,Test,7.05,
7,Cer (d18:2/18:0),564.5,Train,7.44,7.43
8,Cer (d18:1/18:1),564.5,Test,7.41,
9,Cer (d18:1/18:0),566.6,Train,7.8,7.85
10,Cer (d18:0/18:0),568.6,Test,8.15,
11,Cer (d18:2/20:0),592.6,Train,8.16,8.11
12,Cer (d18:1/20:1),592.6,Test,8.12,
13,Cer (d18:1/20:0),594.6,Train,8.52,8.57
14,Cer (d18:0/20:0),596.6,Train,8.88,8.81
15,Cer (d18:2/22:0),620.6,Train,8.92,8.83
16,Cer (d18:1/22:1),620.6,Train,8.88,8.93
17,Cer (d18:1/22:0),622.6,Train,9.28,9.33
18,Cer (d18:0/22:0),624.6,Train,9.64,9.57
19,Cer (d18:2/24:2),644.6,Test,8.91,
20,Cer (d18:2/24:1),646.6,Train,9.31,9.23
21,Cer (d18:2/24:0),648.6,Train,9.71,9.63
22,Cer (d18:1/24:1),648.6,Train,9.68,9.71
23,Cer (d18:1/24:0),650.7,Train,10.08,10.31
24,Cer (d18:0/24:1),650.9,Test,10.04,
25,Cer (d18:0/24:0),652.9,Train,10.44,10.39
