,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,HexCer (d18:1/12:0),644.6,Test,5.71,
1,HexCer (d18:2/16:1),696.6,Test,6.11,
2,HexCer (d18:2/16:0),698.6,Test,6.7,
3,HexCer (d18:1/16:1),698.6,Test,6.11,
4,HexCer (d18:1/16:0),700.6,Train,6.7,6.78
5,HexCer (d18:2/16:0) -OH,714.7,Test,6.72,
6,HexCer (d18:1/16:1) -OH,714.7,Test,6.13,
7,HexCer (d18:1/16:0) -OH,716.7,Test,6.72,
8,HexCer (d18:2/18:1),724.7,Test,6.68,
9,HexCer (d18:2/18:0),726.6,Test,7.28,
10,HexCer (d18:1/18:1),726.7,Test,6.69,
11,HexCer (d18:1/18:0),728.6,Train,7.28,7.06
12,HexCer (d18:2/18:0) - OH,742.7,Test,7.33,
13,HexCer (d18:1/18:1) - OH,742.7,Test,6.74,
14,HexCer (d18:1/18:0) - OH,744.7,Test,7.34,
15,HexCer (d18:2/20:1),752.6,Test,7.32,
16,HexCer (d18:2/20:0),754.6,Test,7.92,
17,HexCer (d18:1/20:1),754.6,Test,7.33,
18,HexCer (d18:1/20:0),756.6,Train,7.92,7.96
19,HexCer (d18:2/20:0) -OH,770.7,Test,8.0,
20,HexCer (d18:1/20:1) - OH,770.7,Test,7.41,
21,HexCer (d18:1/20:0) - OH,772.7,Test,8.01,
22,HexCer (d18:2/22:1),780.6,Test,8.0,
23,HexCer (d18:2/22:0),782.7,Test,8.61,
24,HexCer (d18:1/22:1),782.7,Test,8.02,
25,HexCer (d18:1/22:0),784.7,Train,8.62,8.64
26,HexCer (d18:2/22:0) -OH,798.7,Test,8.72,
27,HexCer (d18:1/22:1) - OH,798.7,Test,8.13,
28,HexCer (d18:1/22:0) - OH,800.7,Test,8.73,
29,HexCer (d18:2/24:1),808.7,Test,8.74,
30,HexCer (d18:2/24:0),810.7,Test,9.35,
31,HexCer (d18:1/24:1),810.7,Train,8.76,8.76
32,HexCer (d18:1/24:0),812.7,Train,9.37,9.38
33,HexCer (d18:2/24:1) - OH,824.7,Test,8.88,
34,HexCer (d18:2/24:0) - OH,826.7,Test,9.49,
35,HexCer (d18:1/24:1) - OH,826.7,Test,8.9,
36,HexCer (d18:1/24:0) - OH,828.8,Test,9.51,
37,HexCer (d18:1/17:0),715.3,Train,6.99,7.06
