,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,Cer (d18:2/16:1),534.5,Test,14.17,
1,Cer (d18:2/16:0),536.5,Test,14.81,
2,Cer (d18:1/16:1),536.5,Train,14.42,14.31
3,Cer (d18:1/16:0),538.6,Train,15.06,15.05
4,Cer (d18:0/16:0),540.5,Train,15.31,15.27
5,Cer (d18:1/17:0),552.7,Test,15.31,
6,Cer (d18:2/18:1),562.5,Test,14.68,
7,Cer (d18:2/18:0),564.5,Test,15.32,
8,Cer (d18:1/18:1),564.5,Train,14.93,15.29
9,Cer (d18:1/18:0),566.6,Train,15.58,15.7
10,Cer (d18:0/18:0),568.6,Train,15.84,15.91
11,Cer (d18:2/20:0),592.6,Test,15.92,
12,Cer (d18:1/20:1),592.6,Train,15.53,15.07
13,Cer (d18:1/20:0),594.6,Train,16.18,16.3
14,Cer (d18:0/20:0),596.6,Train,16.44,16.28
15,Cer (d18:2/22:0),620.6,Test,16.59,
16,Cer (d18:1/22:1),620.6,Train,16.2,16.28
17,Cer (d18:1/22:0),622.6,Train,16.86,16.93
18,Cer (d18:0/22:0),624.6,Train,17.12,16.93
19,Cer (d18:2/24:2),644.6,Test,16.01,
20,Cer (d18:2/24:1),646.6,Train,16.67,16.63
21,Cer (d18:2/24:0),648.6,Train,17.33,17.2
22,Cer (d18:1/24:1),648.6,Train,16.94,17.05
23,Cer (d18:1/24:0),650.7,Train,17.61,17.68
24,Cer (d18:0/24:1),650.9,Train,17.22,17.29
25,Cer (d18:0/24:0),652.9,Train,17.88,17.95
