,Lipid ID,Mass,Type,Predicted Retention Time,Actual Retention Time
0,SM (d18:2/16:0),701.6,Train,14.21,14.18
1,SM (d18:2/18:0),729.6,Train,14.87,14.9
2,SM (d18:2/20:0),757.6,Train,15.51,15.58
3,SM (d18:1/22:0),787.7,Train,16.05,15.73
4,SM (d18:0/22:0),789.7,Train,15.95,16.11
5,SM (d18:2/22:0),785.7,Train,16.15,16.2
6,SM (d18:2/24:0),813.7,Train,16.78,16.82
7,SM (d18:1/12:0),647.5,Test,12.77,
8,SM (d18:1/16:1),701.6,Test,14.11,
9,SM (d18:1/16:0),703.5,Test,14.11,
10,SM (d18:0/16:0),705.6,Test,14.01,
11,SM (d18:1/18:1),729.6,Test,14.77,
12,SM (d18:1/18:0),731.6,Test,14.77,
13,SM (d18:0/18:0),733.6,Test,14.67,
14,SM (d18:1/20:1),757.6,Test,15.42,
15,SM (d18:1/20:0),759.6,Test,15.41,
16,SM (d18:0/20:0),761.6,Test,15.31,
17,SM (d18:1/22:1),785.7,Test,16.05,
18,SM (d18:1/24:1),813.7,Test,16.68,
19,SM (d18:1/24:0),815.7,Test,16.68,
20,SM (d18:0/24:0),817.7,Test,16.58,
