Lipid ID,Mass,Type,Predicted Retention Time,Retention Time
SM (d18:2/16:0),701.6,Train,,14.18
SM (d18:2/18:0),729.6,Train,,14.90
SM (d18:2/20:0),757.6,Train,,15.58
SM (d18:1/22:0),787.7,Train,,15.73
SM (d18:0/22:0),789.7,Train,,16.11
SM (d18:2/22:0),785.7,Train,,16.20
SM (d18:2/24:0),813.7,Train,,16.82
SM (d18:1/12:0),647.5,Test,,
SM (d18:1/16:1),701.6,Test,,
SM (d18:1/16:0),703.5,Test,,
SM (d18:0/16:0),705.6,Test,,
SM (d18:1/18:1),729.6,Test,,
SM (d18:1/18:0),731.6,Test,,
SM (d18:0/18:0),733.6,Test,,
SM (d18:1/20:1),757.6,Test,,
SM (d18:1/20:0),759.6,Test,,
SM (d18:0/20:0),761.6,Test,,
SM (d18:1/22:1),785.7,Test,,
SM (d18:1/24:1),813.7,Test,,
SM (d18:1/24:0),815.7,Test,,
SM (d18:0/24:0),817.7,Test,,
